3
5
3
20 34
0 9 5
2 40 35
5
3
20 12
6 57 1
2 40 12
100
5
3 1
1 2 3
12 90 34
12 54 77
12 63 543
54 574 548
12 90 34
12 54 77
12 63 543
54 574 548
12 90 34
12 54 77
12 63 543
54 574 548
12 90 34
12 54 77
12 63 543
54 574 548
12 90 34
12 54 77
12 63 543
54 574 548
12 90 34
12 54 77
12 63 543
54 574 548
12 90 34
12 54 77
12 63 543
54 574 548
12 90 34
12 54 77
12 63 543
54 574 548
12 90 34
12 54 77
12 63 543
54 574 548
12 90 34
12 54 77
12 63 543
54 574 548
12 90 34
12 54 77
12 63 543
54 574 548
12 90 34
12 54 77
12 63 543
54 574 548
12 90 34
12 54 77
12 63 543
54 574 548
12 90 34
12 54 77
12 63 543
54 574 548
12 90 34
12 54 77
12 63 543
54 574 548
12 90 34
12 54 77
12 63 543
54 574 548
12 90 34
12 54 77
12 63 543
54 574 548
12 90 34
12 54 77
12 63 543
54 574 548
12 90 34
12 54 77
12 63 543
54 574 548
12 90 34
12 54 77
12 63 543
54 574 548
12 90 34
12 54 77
12 63 543
54 574 548
12 90 34
12 54 77
12 63 543
54 574 548
12 90 34
12 54 77
12 63 543
54 574 548
12 90 34
12 54 77
12 63 543
54 574 548
12 90 34
